Alias,uri,Date event,RDFType,Subject,Content,Creator,Created,rdf:type,RDFLabel
369/DZ_PG_35/ZM4358/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000369,29/06/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Lodging,,Plots lodged after the storm,rncs,06/07/2017,,
370/DZ_PG_08/ZM4343/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000370,29/06/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Lodging,,Plots lodged after the storm,rncs,06/07/2017,,
373/DZ_PG_17/ZM4348/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000373,29/06/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Lodging,,Plots lodged after the storm,rncs,06/07/2017,,
374/DZ_PG_07/ZM4351/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000374,29/06/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Lodging,,Plots lodged after the storm,rncs,06/07/2017,,
375/DZ_PG_20/ZM4344/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000375,29/06/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Lodging,,Plots lodged after the storm,rncs,06/07/2017,,
46/DKC4590/XXXX/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000046,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
60/DZ_PG_32/ZM4352/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000060,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
62/DZ_PG_63/ZM4392/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000062,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
68/DZ_PG_03/ZM4377/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000068,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
72/DZ_PG_39/ZM4371/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000072,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000122,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
124/DZ_PG_01/ZM4381/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000124,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
186/DZ_PG_54/ZM4346/WD1/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000186,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
217/DZ_PG_45/ZM4385/WD1/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000217,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
248/DZ_PG_27/ZM4354/WD1/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000248,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
250/DZ_PG_13/ZM4379/WD1/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000250,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
255/DZ_PG_02/ZM4356/WD1/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000255,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
317/DZ_PG_26/ZM4387/WD2/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000317,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
321/DZ_PG_54/ZM4346/WD2/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000321,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
323/DZ_PG_16/ZM4359/WD2/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000323,08/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,15/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
338/DZ_PG_11/ZM4386/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000338,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
